Chapter Code,H.S.Code,HS 4-digit Code,HS 4-digit Description,HS 6-digit Code,HS 6-digit Description,Statistical Code,Full 9-digit Code,Description,Row Index
02,0203.22,0203,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in",023,020322023,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on  partial pig, in value for customs duty",57
02,0203.22,0203,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in",024,020322024,"- Less than 399 yen/kg in value for customs duty",59
02,0203.22,0203,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in",025,020322025,"- Not less than 399 yen/kg in value for customs duty",60
02,0203.22,0203,"Hams, shoulders and cuts thereof, with bone in",020322,"Hams, shoulders and cuts thereof, with bone in",022,020322022,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",61
02,0203.29,0203,"Other",020329,"Other",010,020329010,"1 Of wild boars",63
02,0203.29,0203,"Other",020329,"Other",023,020329023,"*�k1�lEach kilogram, not more than the upper limit prices for the specific duty applied on  partial pig, in value for customs duty",65
02,0203.29,0203,"Other",020329,"Other",024,020329024,"- Less than 399 yen/kg in value for customs duty",67
02,0203.29,0203,"Other",020329,"Other",025,020329025,"- Not less than 399 yen/kg in value for customs duty",68
02,0203.29,0203,"Other",020329,"Other",022,020329022,"*�k3�lEach kilogram, more than the gate prices of partial pig, in value for customs duty",69
02,0204.10,0204,"Carcasses and half-carcasses of lamb, fresh or chilled",020410,"Carcasses and half-carcasses of lamb, fresh or chilled",000,020410000,"Carcasses and half-carcasses of lamb, fresh or chilled",71
02,0204.21,0204,"Carcasses and half-carcasses",020421,"Carcasses and half-carcasses",000,020421000,"Carcasses and half-carcasses",73
02,0204.22,0204,"Other cuts with bone in",020422,"Other cuts with bone in",000,020422000,"Other cuts with bone in",74
02,0204.23,0204,"Boneless",020423,"Boneless",000,020423000,"Boneless",75
02,0204.30,0204,"Carcasses and half-carcasses of lamb, frozen",020430,"Carcasses and half-carcasses of lamb, frozen",000,020430000,"Carcasses and half-carcasses of lamb, frozen",76
02,0204.41,0204,"Carcasses and half-carcasses",020441,"Carcasses and half-carcasses",000,020441000,"Carcasses and half-carcasses",78
